header|season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|result_type|reg_result|final_result|match_details_url
Matches|2004 Portugal|Group stage|C|49388|2004-06-14T16:00:00+00:00|Denmark|Italy|0|0|R|D||/matches/2004/06/14/europe/european-championships/denmark/italy/49388/
Matches|2004 Portugal|Group stage|C|49389|2004-06-14T18:45:00+00:00|Sweden|Bulgaria|5|0|R|A||/matches/2004/06/14/europe/european-championships/sweden/bulgaria/49389/
Matches|2004 Portugal|Group stage|C|49390|2004-06-18T16:00:00+00:00|Bulgaria|Denmark|0|2|R|B||/matches/2004/06/18/europe/european-championships/bulgaria/denmark/49390/
Matches|2004 Portugal|Group stage|C|49391|2004-06-18T18:45:00+00:00|Italy|Sweden|1|1|R|D||/matches/2004/06/18/europe/european-championships/italy/sweden/49391/
Matches|2004 Portugal|Group stage|C|49392|2004-06-22T18:45:00+00:00|Denmark|Sweden|2|2|R|D||/matches/2004/06/22/europe/european-championships/denmark/sweden/49392/
Matches|2004 Portugal|Group stage|C|49393|2004-06-22T18:45:00+00:00|Italy|Bulgaria|2|1|R|A||/matches/2004/06/22/europe/european-championships/italy/bulgaria/49393/
Matches|2004 Portugal|Group stage|D|49394|2004-06-15T16:00:00+00:00|Czech Republic|Latvia|2|1|R|A||/matches/2004/06/15/europe/european-championships/czech-republic/latvia/49394/
Matches|2004 Portugal|Group stage|D|49395|2004-06-15T18:45:00+00:00|Germany|Netherlands|1|1|R|D||/matches/2004/06/15/europe/european-championships/germany/netherlands/49395/
Matches|2004 Portugal|Group stage|D|49396|2004-06-19T16:00:00+00:00|Latvia|Germany|0|0|R|D||/matches/2004/06/19/europe/european-championships/latvia/germany/49396/
Matches|2004 Portugal|Group stage|D|49397|2004-06-19T18:45:00+00:00|Netherlands|Czech Republic|2|3|R|B||/matches/2004/06/19/europe/european-championships/netherlands/czech-republic/49397/
Matches|2004 Portugal|Group stage|D|49399|2004-06-23T18:45:00+00:00|Netherlands|Latvia|3|0|R|A||/matches/2004/06/23/europe/european-championships/netherlands/latvia/49399/
Matches|2004 Portugal|Group stage|D|49398|2004-06-23T18:45:00+00:00|Germany|Czech Republic|1|2|R|B||/matches/2004/06/23/europe/european-championships/germany/czech-republic/49398/
Final|2000 Netherlands/Belgium|Final||146556|2000-07-02T18:00:00+00:00|France|Italy|2|1|E|A|A|/matches/2000/07/02/europe/european-championships/france/italy/146556/
Semi-finals|2000 Netherlands/Belgium|Final||146554|2000-06-28T18:45:00+00:00|France|Portugal|2|1|E|A|A|/matches/2000/06/28/europe/european-championships/france/portugal/146554/
Semi-finals|2000 Netherlands/Belgium|Final||146555|2000-06-29T16:00:00+00:00|Italy|Netherlands|0|0|P|D|A|/matches/2000/06/29/europe/european-championships/italy/netherlands/146555/
Quarter-finals|2000 Netherlands/Belgium|Final||146550|2000-06-24T16:00:00+00:00|Turkey|Portugal|0|2|R|B||/matches/2000/06/24/europe/european-championships/turkey/portugal/146550/
Quarter-finals|2000 Netherlands/Belgium|Final||146551|2000-06-24T18:45:00+00:00|Italy|Romania|2|0|R|A||/matches/2000/06/24/europe/european-championships/italy/romania/146551/
